"","hr","r","rbi","sb","xavg","zsum"
"Brandon Moss",0.866009011284885,0.0029894947659279,0.300330286588922,-0.784539290890346,-1.66388186274917,-1.27909236099979
"Josh Harrison",-0.998731347369762,0.263814658328496,-0.240283181539959,0.929161121556851,1.21850045380815,1.17246170478378
"Yadier Molina",-0.998731347369762,-0.655283537082459,-0.240283181539959,-0.582927477661264,1.15249412874591,-1.32473141490754
"Melky Cabrera",-0.268374706896692,0.512219576007133,0.817938926286786,-0.539724946255032,1.51927622680065,2.04133507594285
"Eric Hosmer",0.772771993352153,1.08976100960996,1.72662964931193,-0.294910601619718,0.833855652113818,4.12810770276814
"A.J. Pollock",0.151191873800604,1.35058617317253,0.0472771738477436,2.15323284473342,1.43079926970047,5.13308733525476
"J.D. Martinez",1.59636565175796,0.934507936060815,1.29528911623037,-0.539724946255032,1.29899605605962,4.58543381385373
"Wil Myers",1.14572006508308,1.28848494375287,1.26078187358385,1.33238474801501,-0.264154123666914,4.7632175067679
"Howie Kendrick",-0.812257311504297,0.0464603553596893,-0.389814566341564,0.0651104934322141,0.312228769823507,-0.778272259230451
"Brian McCann",0.44644243058759,-0.220574931144845,0.173803730218333,-0.8133409784945,-1.09604459471399,-1.50971434354741
"Neil Walker",0.772771993352153,0.42527785481961,0.599393056192132,-0.539724946255032,0.313756505911106,1.57147446401997
"Jayson Werth",-0.159598185975171,0.0278299865337915,-0.205775938893434,-0.510923258650877,-0.7794783515504,-1.62794574853609
"Pedro Alvarez",-0.179577546960756,-1.3942881671764,-0.926320029393477,-0.704306018278772,-0.514978201898574,-3.71946996370798
"Ben Zobrist",-0.0663611680424385,1.02144965724834,0.329086322127692,-0.294910601619718,0.384258332483525,1.3735225421974
"Matt Wieters",-0.221756197930326,-0.83537710239947,-0.257536802863221,-0.784539290890346,-0.371170888378251,-2.47038028246161
"Joe Mauer",-0.672401784605199,0.276234904212428,-0.0102348972297968,-0.669332540473727,0.163520846441962,-0.912213471654333
"Xander Bogaerts",0.306586903688491,1.5927809679092,1.21477221672182,0.223519775255064,2.03696411476748,5.37462397834206
"Ben Revere",-1.74462749083162,-1.02789091360041,-1.59181685186216,0.914760277754774,0.250155817596189,-3.19941916094323
"Shin-Soo Choo",0.182270879778181,0.506009453065167,-0.102254210953862,-0.0644971007864815,-0.247870233824726,0.273658787278279
"Martin Prado",-0.812257311504297,0.195503305966871,0.150798901787317,-0.683733384275805,1.47227173516921,0.322583247143297
"Kris Bryant",2.29564328625345,2.18274264739596,2.03719483313064,0.266722306661296,1.2764696646209,8.05877273806225
"Jhonny Peralta",-0.268374706896692,-0.332357144100231,-0.240283181539959,-0.755737603286191,0.0272207042976987,-1.56953193152537
"Rougned Odor",1.61190515474674,1.27606469786894,1.49658136500176,0.453933276088301,0.693796155357599,5.53228064906335
"Carlos Beltran",0.617376963464266,0.0402502324177234,0.651153920161919,-0.784539290890346,0.534431587664141,1.0586734128177
"Alcides Escobar",-1.12304737128007,0.338336133632087,-0.303546459725253,1.02996702817139,0.0377516636569045,-0.0205390055449416
"Russell Martin",0.384284418632435,-0.102582595247493,0.375095978989724,-0.568526633859186,-1.33186896253699,-1.24359779402151
"Jedd Gyorko",0.92816702324004,-0.28888628350647,0.242818215511381,-0.726935915682037,-0.820792694636102,-0.665629655073187
"Jean Segura",-0.190677191952748,1.33195580434663,-0.0102348972297968,2.31164212655627,1.34975630743316,4.79244214915352
"Lorenzo Cain",-0.392690730807002,0.760624493685769,0.530378570899084,1.41878981082748,1.25357580944837,3.5706779540537
"Javier Baez",0.32212640667728,-0.0653218575956971,0.392349600312987,0.583540870306996,-0.0479471941615537,1.18474782554001
"Yasmani Grandal",0.741692987374575,-0.388248250577925,0.242818215511381,-0.698134228077882,-1.43163331802685,-1.5335045937967
"Curtis Granderson",1.02140404117277,1.05250027195817,0.0127699312012194,-0.237307226411409,-1.3357382792306,0.51362873869015
"Brandon Belt",0.44644243058759,0.760624493685769,0.79493409785577,-0.453319883442568,0.312746085145157,1.86142722383172
"Nick Castellanos",0.508600442542744,0.183083060082939,0.714417198347213,-0.698134228077882,0.321090686169866,1.02905715906488
"Scooter Gennett",-0.889954826448241,-0.916108700645027,-1.0857106263798,-0.424518195838414,0.146920380310001,-3.16937196900148
"Travis d'Arnaud",-0.5325462577061,-0.897478331819129,-0.89592079182392,-0.8133409784945,-0.509415757099453,-3.6487021169431
"Asdrubal Cabrera",0.368744915643646,0.450118346587473,0.202559765757103,-0.266108914015563,-0.00197852665867779,0.753335587313981
"Steve Pearce",0.228889388744547,-0.543501324127072,-0.41281939477258,-0.726935915682037,0.074859516048613,-1.37950772978853
"Andrelton Simmons",-1.10750786829128,-0.133633209957322,-0.251785595755467,-0.0500962569844042,0.422264109565457,-1.12075882142302
"Adam Eaton",-0.439309239773368,1.5927809679092,-0.00448369012204279,0.756350995931924,1.63546987842037,3.54080891236608
"Yasmany Tomas",0.834930005307308,0.0899312159534506,0.622397884623148,-0.510923258650877,0.216211341131684,1.25254718836471
